02-22 21:01:46 [SUCCESS] nonebot | NoneBot is initializing...
02-22 21:01:46 [INFO] nonebot | Current Env: onebotv11-wsRev
02-22 21:01:47 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_saa"
02-22 21:01:50 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_analysis_bilibili"
02-22 21:01:50 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_apscheduler"
02-22 21:01:51 [INFO] nonebot_plugin_mbtistats | [AutoStats] 模块加载完成 - DEBUG_MODE=False, RUN_ON_STARTUP=False, SCHEDULE=00:00
02-22 21:01:51 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_mbtistats"
02-22 21:01:51 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_questionmark"
02-22 21:01:51 [SUCCESS] nonebot | Succeeded to load plugin "single_session" from "nonebot.plugins.single_session"
Loading plugins from plugins directory...
02-22 21:01:51 [SUCCESS] nonebot | Succeeded to load plugin "eval_plugin" from "plugins.eval_plugin"
02-22 21:01:51 [SUCCESS] nonebot | Succeeded to load plugin "timer_plugin" from "plugins.timer_plugin"
02-22 21:01:51 [SUCCESS] nonebot | Succeeded to load plugin "recall_plugin" from "plugins.recall_plugin"
02-22 21:01:53 [SUCCESS] nonebot | Succeeded to load plugin "ai_chat_plugin" from "plugins.ai_chat_plugin"
Plugins loaded!
02-22 21:01:53 [SUCCESS] nonebot | Running NoneBot...
02-22 21:01:53 [SUCCESS] nonebot | Loaded adapters: QQ, Console
02-22 21:01:53 [INFO] uvicorn | Started server process [35700]
02-22 21:01:53 [INFO] uvicorn | Waiting for application startup.
02-22 21:01:54 [INFO] nonebot_plugin_apscheduler | Scheduler Started
02-22 21:01:54 [INFO] nonebot_plugin_mbtistats | 正在启动 Playwright 浏览器内核...
[?1049h[?1000h[?1003h[?1015h[?1006h[?25l[?1003h[?1004h[?2004h02-22 21:01:56 [SUCCESS] nonebot | Console unmounted.
02-22 21:01:56 [WARNING] nonebot | Press Ctrl-C for Application exit
02-22 21:01:56 [INFO] uvicorn | Application shutdown complete.
